carname,carprice,carbrand,cartype,powerway,timemark,car_motor,motor_type,car_gl,car_nj,battery_type,battery_tec,battery_brand,battery_cap,dir_way,bef_xg,aft_xg
汉EV 2022款 创世版 715KM尊荣型,27.18万,比亚迪,中大型车,纯电动,2022.04,纯电动 245马力,永磁/交流/同步,180,350,磷酸铁锂电池,刀片电池,比亚迪,85.4,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
威霆 2013款 2.5L 自动 前驱 7座 原厂定制版,暂无报价,,汽油,,,,,,,,,,,,,
奔驰GL级 2016款 3.0T 自动 四驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
 0款 ,暂无报价,,汽油,,,,,,,,,,,,,
宝马X6 2016款 3.0T 自动 四驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
凯锐EV 2022款 中体单排液刹106.95kwh,27.18万,江铃汽车,轻卡,纯电动,2022.04,纯电动 163马力,永磁/同步,120,1000,磷酸铁锂电池,宁德时代,5年或20万公里,,后置后驱,整体桥式非独立悬挂,整体桥式非独立悬挂
 0款 ,暂无报价,,,,,,,,,,,,,,,
角斗士 2022款 试装车,暂无报价,,,,,,,,,,,,,,,
克莱斯勒200 2013款 2.4L 自动 前驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
福特GT 2022款 Holman Moody Heritage Edition,暂无报价,,,,,,,,,,,,,,,
朋克多多 2023款 基本型,暂无报价,,,,,,,,,,,,,,,
起亚EV6 2022款 GT 欧洲版,暂无报价,,,,,,,,,,,,,,,
长安欧尚Z6 2022款 1.5T DCT基本型,暂无报价,,汽油,,1.5T 188马力 L4,138(188Ps),1494,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,
ARIYA 艾睿雅 2022款 两驱基本型,暂无报价,,纯电动,,,,未知,,,未知,,,快充接口,,,
福特F-150 2012款 6.2L 自动 四驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
 0款 ,暂无报价,,,,,,,,,,,,,,,
奔驰EQE(海外) 2022款 500 AMG Line,暂无报价,,,,,,,,,,,,,,,
奔驰EQE(海外) 2022款 350+ AMG Line,暂无报价,,,,,,,,,,,,,,,
 0款 ,暂无报价,,汽油,,,,,,,,,,,,,
Pathfinder 2022款 Rock Creek,暂无报价,,,,,,,,,,,,,,,
宝马3系 2022款 改款 325i M运动套装,31.39万,华晨宝马,中型车,汽油,2022.04,2.0T 184马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马3系 2022款 改款 325i M运动曜夜套装,33.39万,华晨宝马,中型车,汽油,2022.04,2.0T 184马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马3系 2022款 改款 325Li M运动套装,34.69万,华晨宝马,中型车,汽油,2022.04,2.0T 184马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马3系 2022款 改款 325Li M运动曜夜套装,36.59万,华晨宝马,中型车,汽油,2022.04,2.0T 184马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马3系 2022款 改款 325Li xDrive M运动套装,36.19万,华晨宝马,中型车,汽油,2022.04,2.0T 184马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马3系 2022款 改款 330Li xDrive M运动曜夜套装,40.99万,华晨宝马,中型车,汽油,2022.04,2.0T 258马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马3系 2022款 改款 330i M运动曜夜套装,38.19万,华晨宝马,中型车,汽油,2022.04,2.0T 258马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
长安Lumin 2022款 155km 清甜款,4.99万,长安汽车,微型车,纯电动,2022.06,纯电动 41马力,永磁/同步,30,79,磷酸铁锂电池,宁德时代,8年或12万公里,115.0,前置前驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
 0款 ,暂无报价,,汽油,,,,,,,,,,,,,
 0款 ,暂无报价,,,,,,,,,,,,,,,
宝马X3 2022款 改款 xDrive30i 领先型 M曜夜套装,44.19万,华晨宝马,中型SUV,汽油,2022.04,2.0T 252马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马4系 2022款 改款 425i M运动曜夜套装,40.69万,宝马(进口),中型车,汽油,2022.04,2.0T 184马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马4系 2022款 改款 425i 敞篷M运动曜夜套装,50.69万,宝马(进口),中型车,汽油,2022.04,2.0T 184马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马4系 2022款 改款 430i M运动曜夜套装,46.99万,宝马(进口),中型车,汽油,2022.04,2.0T 245马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马4系 2022款 改款 430i 敞篷M运动曜夜套装,56.69万,宝马(进口),中型车,汽油,2022.04,2.0T 245马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
海豹 2022款 550KM 标准续航后驱版精英型,21.28万,比亚迪,中型车,纯电动,2022.07,纯电动 204马力,永磁/同步,150,310,磷酸铁锂电池,刀片电池,比亚迪,61.4,后置后驱,双叉臂式独立悬挂,多连杆式独立悬挂
海豹 2022款 550KM 标准续航后驱版尊贵型,22.58万,比亚迪,中型车,纯电动,2022.07,纯电动 204马力,永磁/同步,150,310,磷酸铁锂电池,刀片电池,比亚迪,61.4,后置后驱,双叉臂式独立悬挂,多连杆式独立悬挂
 0款 ,暂无报价,,,,,,,,,,,,,,,
 0款 ,暂无报价,,,,,,,,,,,,,,,
海豹 2022款 700KM 长续航后驱版,26.28万,比亚迪,中型车,纯电动,2022.07,纯电动 313马力,永磁/同步,230,360,磷酸铁锂电池,刀片电池,比亚迪,82.5,后置后驱,双叉臂式独立悬挂,多连杆式独立悬挂
 0款 ,暂无报价,,,,,,,,,,,,,,,
宝马X4 2022款 改款 xDrive 30i M运动曜夜套装,56.49万,宝马(进口),中型SUV,汽油,2022.04,2.0T 245马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马Z4 2022款 改款 M40i M运动性能版,63.38万,宝马(进口),跑车,汽油,2022.04,3.0T 340马力 L6,2998,6,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
楼兰 2022款 低配版,暂无报价,,,,,,,,,,,,,,,
楼兰 2022款 高配版,暂无报价,,,,,,,,,,,,,,,
奔驰GL级 2010款 4.7L 自动 四驱 7座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
宝马3系 2022款 改款 320i 运动套装,29.39万,华晨宝马,中型车,汽油,2022.04,2.0T 156马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马3系 2022款 改款 320Li M运动套装,31.89万,华晨宝马,中型车,汽油,2022.04,2.0T 156马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
 0款 ,暂无报价,,,,,,,,,,,,,,,
威然 2022款 试装车,暂无报价,,,,,,,,,,,,,,,
宝马X7 2023款 基本型,暂无报价,,,,,,,,,,,,,,,
宝马X7 2023款 Selection,暂无报价,,,,,,,,,,,,,,,
宝马X7 2023款 M60i xDrive 欧洲版,暂无报价,,,,,,,,,,,,,,,
宝马X7 2023款 xDrive40i 欧洲版,暂无报价,,,,,,,,,,,,,,,
Sienna 2020款 3.5L 自动 前驱 7座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
北汽瑞翔X3 2022款 1.5L 手动旗舰版 5座,9.68万,北汽瑞翔,紧凑型SUV,汽油,2022.04,1.5L 113马力 L4,1498,4,L,5挡手动,5,手动变速箱(MT),,通风盘式,实心盘式,手刹
皓极 2022款 马赫动力 1.5T 敢爱版,13.99万,东风乘用车,紧凑型SUV,汽油,2022.07,1.5T 204马力 L4,1476,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
埃尔法 2012款 2.4L 自动 前驱 7座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
Lucid Air 2022款 Grand Touring,暂无报价,,,,,,,,,,,,,,,
Lucid Air 2022款 Grand Touring Performance,暂无报价,,,,,,,,,,,,,,,
奔驰EQE(海外) 2022款 350+ Electric Art Line,暂无报价,,,,,,,,,,,,,,,
奔驰EQE(海外) 2022款  350+ AMG Line Edition 1,暂无报价,,,,,,,,,,,,,,,
金海狮M 2022款 金海狮M 基本型,暂无报价,,汽油,,1.5L 112马力 L4,82(112Ps),1499,4,L,5挡手动,5,手动变速箱(MT),,通风盘式,鼓式,手刹
揽胜运动版 2017款 3.0T 自动 四驱 7座 平行进口,暂无报价,,柴油,,,,,,,,,,,,,
聆风 2023款 SV Plus 美国版,暂无报价,,,,,,,,,,,,,,,
 0款 ,暂无报价,,汽油,,,,,,,,,,,,,
魔方 2022款 试装车,暂无报价,,,,,,,,,,,,,,,
斯威G01 2022款 1.5T DCT荣耀版,26.98万,SWM斯威汽车,紧凑型SUV,汽油,2022.04,1.5T 156马力 L4,1498,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
帕里斯帝 2023款 基本型,暂无报价,,,,,,,,,,,,,,,
傲虎 2023款 XT 美国版,暂无报价,,,,,,,,,,,,,,,
捷尼赛思 X 概念车 2022款 Speedium Coupe,暂无报价,,,,,,,,,,,,,,,
 0款 ,暂无报价,,汽油,,,,,,,,,,,,,
